id,station_id,time,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
2978246,dongsi_aq,2018-04-29 01:00:00,187.0,214.0,102.0,1.3,35.0,8.0
2978247,tiantan_aq,2018-04-29 01:00:00,75.0,96.0,72.0,0.8,38.0,7.0
2978248,guanyuan_aq,2018-04-29 01:00:00,297.0,304.0,108.0,1.5,41.0,10.0
2978249,wanshouxigong_aq,2018-04-29 01:00:00,113.0,217.0,82.0,1.2,30.0,9.0
2978250,aotizhongxin_aq,2018-04-29 01:00:00,239.0,,101.0,1.4,20.0,2.0
2978251,nongzhanguan_aq,2018-04-29 01:00:00,98.0,113.0,116.0,1.0,4.0,7.0
2978252,wanliu_aq,2018-04-29 01:00:00,208.0,249.0,119.0,1.2,17.0,2.0
2978253,beibuxinqu_aq,2018-04-29 01:00:00,159.0,248.0,77.0,1.3,43.0,2.0
2978254,zhiwuyuan_aq,2018-04-29 01:00:00,,,,,,
2978255,fengtaihuayuan_aq,2018-04-29 01:00:00,240.0,280.0,85.0,1.4,57.0,10.0
2978256,yungang_aq,2018-04-29 01:00:00,191.0,204.0,62.0,1.1,78.0,6.0
2978257,gucheng_aq,2018-04-29 01:00:00,216.0,244.0,81.0,1.1,65.0,2.0
2978258,fangshan_aq,2018-04-29 01:00:00,68.0,,55.0,0.7,69.0,9.0
2978259,daxing_aq,2018-04-29 01:00:00,78.0,149.0,61.0,0.4,42.0,15.0
2978260,yizhuang_aq,2018-04-29 01:00:00,57.0,86.0,44.0,0.7,67.0,8.0
2978261,tongzhou_aq,2018-04-29 01:00:00,70.0,125.0,47.0,0.8,56.0,11.0
2978262,shunyi_aq,2018-04-29 01:00:00,130.0,,53.0,1.3,58.0,11.0
2978263,pingchang_aq,2018-04-29 01:00:00,190.0,,122.0,1.1,25.0,6.0
2978264,mentougou_aq,2018-04-29 01:00:00,102.0,130.0,29.0,0.9,124.0,2.0
2978265,pinggu_aq,2018-04-29 01:00:00,119.0,,30.0,0.9,98.0,9.0
2978266,huairou_aq,2018-04-29 01:00:00,149.0,,37.0,0.9,76.0,5.0
2978267,miyun_aq,2018-04-29 01:00:00,123.0,143.0,63.0,1.0,76.0,7.0
2978268,yanqin_aq,2018-04-29 01:00:00,159.0,230.0,95.0,0.9,37.0,5.0
2978269,dingling_aq,2018-04-29 01:00:00,190.0,198.0,106.0,1.1,37.0,4.0
2978270,badaling_aq,2018-04-29 01:00:00,129.0,188.0,48.0,0.8,126.0,5.0
2978271,miyunshuiku_aq,2018-04-29 01:00:00,158.0,,13.0,1.0,121.0,2.0
2978272,donggaocun_aq,2018-04-29 01:00:00,76.0,86.0,28.0,0.7,95.0,18.0
2978273,yongledian_aq,2018-04-29 01:00:00,68.0,110.0,43.0,1.0,82.0,12.0
2978274,yufa_aq,2018-04-29 01:00:00,78.0,116.0,32.0,0.7,70.0,22.0
2978275,liulihe_aq,2018-04-29 01:00:00,164.0,217.0,59.0,0.9,49.0,7.0
2978276,qianmen_aq,2018-04-29 01:00:00,80.0,160.0,89.0,0.8,36.0,19.0
2978277,yongdingmennei_aq,2018-04-29 01:00:00,85.0,173.0,139.0,1.1,35.0,21.0
2978278,xizhimenbei_aq,2018-04-29 01:00:00,285.0,,114.0,1.4,23.0,8.0
2978279,nansanhuan_aq,2018-04-29 01:00:00,72.0,155.0,105.0,0.8,20.0,12.0
2978280,dongsihuan_aq,2018-04-29 01:00:00,92.0,183.0,121.0,1.0,7.0,14.0
2978302,dongsi_aq,2018-04-29 02:00:00,215.0,237.0,125.0,1.3,29.0,8.0
2978303,tiantan_aq,2018-04-29 02:00:00,98.0,126.0,80.0,0.9,45.0,8.0
2978304,guanyuan_aq,2018-04-29 02:00:00,304.0,,93.0,1.4,79.0,10.0
2978305,wanshouxigong_aq,2018-04-29 02:00:00,170.0,258.0,79.0,1.3,52.0,9.0
2978306,aotizhongxin_aq,2018-04-29 02:00:00,252.0,,108.0,1.4,39.0,3.0
2978307,nongzhanguan_aq,2018-04-29 02:00:00,126.0,196.0,122.0,1.1,11.0,7.0
2978308,wanliu_aq,2018-04-29 02:00:00,231.0,262.0,95.0,1.2,69.0,2.0
2978309,beibuxinqu_aq,2018-04-29 02:00:00,187.0,269.0,67.0,1.4,86.0,3.0
2978310,zhiwuyuan_aq,2018-04-29 02:00:00,,,,,,
2978311,fengtaihuayuan_aq,2018-04-29 02:00:00,293.0,301.0,83.0,1.4,81.0,10.0
2978312,yungang_aq,2018-04-29 02:00:00,217.0,,62.0,1.2,93.0,9.0
2978313,gucheng_aq,2018-04-29 02:00:00,239.0,,79.0,1.2,95.0,4.0
2978314,fangshan_aq,2018-04-29 02:00:00,141.0,,67.0,1.0,91.0,10.0
2978315,daxing_aq,2018-04-29 02:00:00,99.0,157.0,54.0,0.5,63.0,19.0
2978316,yizhuang_aq,2018-04-29 02:00:00,63.0,99.0,45.0,0.7,80.0,14.0
2978317,tongzhou_aq,2018-04-29 02:00:00,67.0,108.0,37.0,0.7,79.0,14.0
2978318,shunyi_aq,2018-04-29 02:00:00,117.0,,46.0,1.2,82.0,12.0
2978319,pingchang_aq,2018-04-29 02:00:00,197.0,236.0,99.0,1.1,52.0,6.0
2978320,mentougou_aq,2018-04-29 02:00:00,184.0,216.0,62.0,1.1,114.0,4.0
2978321,pinggu_aq,2018-04-29 02:00:00,78.0,83.0,28.0,0.8,116.0,14.0
2978322,huairou_aq,2018-04-29 02:00:00,112.0,,37.0,0.9,85.0,7.0
2978323,miyun_aq,2018-04-29 02:00:00,123.0,142.0,40.0,1.0,120.0,8.0
2978324,yanqin_aq,2018-04-29 02:00:00,148.0,191.0,67.0,0.8,108.0,6.0
2978325,dingling_aq,2018-04-29 02:00:00,196.0,208.0,81.0,1.1,93.0,5.0
2978326,badaling_aq,2018-04-29 02:00:00,122.0,190.0,44.0,0.8,141.0,9.0
2978327,miyunshuiku_aq,2018-04-29 02:00:00,143.0,,19.0,0.9,137.0,5.0
2978328,donggaocun_aq,2018-04-29 02:00:00,76.0,78.0,25.0,0.6,109.0,19.0
2978329,yongledian_aq,2018-04-29 02:00:00,72.0,106.0,28.0,1.0,110.0,16.0
2978330,yufa_aq,2018-04-29 02:00:00,92.0,107.0,36.0,0.8,74.0,26.0
2978331,liulihe_aq,2018-04-29 02:00:00,149.0,206.0,52.0,0.9,68.0,14.0
2978332,qianmen_aq,2018-04-29 02:00:00,104.0,169.0,102.0,1.0,37.0,16.0
2978333,yongdingmennei_aq,2018-04-29 02:00:00,109.0,170.0,125.0,1.3,59.0,24.0
2978334,xizhimenbei_aq,2018-04-29 02:00:00,305.0,,118.0,1.4,41.0,11.0
2978335,nansanhuan_aq,2018-04-29 02:00:00,111.0,188.0,120.0,1.1,23.0,12.0
2978336,dongsihuan_aq,2018-04-29 02:00:00,98.0,165.0,118.0,1.1,16.0,13.0
2978358,dongsi_aq,2018-04-29 03:00:00,134.0,142.0,110.0,1.1,49.0,9.0
2978359,tiantan_aq,2018-04-29 03:00:00,,103.0,72.0,0.9,65.0,8.0
2978360,guanyuan_aq,2018-04-29 03:00:00,303.0,,88.0,1.3,115.0,10.0
2978361,wanshouxigong_aq,2018-04-29 03:00:00,140.0,197.0,72.0,1.2,67.0,9.0
2978362,aotizhongxin_aq,2018-04-29 03:00:00,256.0,,138.0,1.4,42.0,5.0
2978363,nongzhanguan_aq,2018-04-29 03:00:00,119.0,165.0,96.0,1.0,48.0,8.0
2978364,wanliu_aq,2018-04-29 03:00:00,257.0,294.0,83.0,1.3,124.0,2.0
2978365,beibuxinqu_aq,2018-04-29 03:00:00,185.0,269.0,52.0,1.4,140.0,5.0
2978366,zhiwuyuan_aq,2018-04-29 03:00:00,,,,,,
2978367,fengtaihuayuan_aq,2018-04-29 03:00:00,252.0,,87.0,1.3,74.0,11.0
2978368,yungang_aq,2018-04-29 03:00:00,219.0,,68.0,1.2,123.0,9.0
2978369,gucheng_aq,2018-04-29 03:00:00,239.0,,67.0,1.2,152.0,7.0
2978370,fangshan_aq,2018-04-29 03:00:00,174.0,,70.0,1.1,113.0,8.0
2978371,daxing_aq,2018-04-29 03:00:00,116.0,191.0,60.0,0.6,75.0,19.0
2978372,yizhuang_aq,2018-04-29 03:00:00,73.0,103.0,52.0,0.8,82.0,10.0
